model,query_variant_strategy,video_id,event,gt_time,subjectivity,top1_query_variant,top1_time,top1_score,top1_iou,best_iou_at_k
Moment-DETR,the_video_shows,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"The video shows a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:03 - 00:46,0.9977,0.019176707487286008,0.019176707487286008
Moment-DETR,the_video_shows,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,"The video shows a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",00:00 - 00:17,0.9493,0.0,0.11729058743035864
Moment-DETR,the_video_shows,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,"The video shows a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",01:04 - 01:18,0.9897,0.0,0.0
Moment-DETR,the_video_shows,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,"The video shows the video emphasizes the importance of rotating tires every 7,500 miles",00:55 - 01:23,0.9781,0.0,0.19884985245340947
QD-DETR,cleaned,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,"a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",00:32 - 00:47,0.9989,0.0,0.12047936188337391
QD-DETR,cleaned,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,"The man, identified as Dave Campbell, provides information about GMC certified service",00:05 - 00:20,0.979,0.8111561002318554,0.8111561002318554
QD-DETR,cleaned,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:42 - 00:56,0.9861,0.0,0.0
QD-DETR,cleaned,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,"a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",00:10 - 00:17,0.9599,0.0,0.0
QD-DETR,cleaned,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,"a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:43 - 00:55,0.9966,0.0,0.3407562500000001
QD-DETR,cleaned,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,"The video emphasizes the importance of rotating tires every 7,500 miles",00:05 - 00:15,0.9615,0.0,0.0
QD-DETR,find_moment,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,"Find the moment showing a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",00:32 - 00:47,0.9928,0.0,0.0
QD-DETR,find_moment,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,"Find the moment showing the man, identified as Dave Campbell, provides information about GMC certified service",00:07 - 00:19,0.9801,0.8095281224526765,0.8095281224526765
QD-DETR,find_moment,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"Find the moment showing a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:42 - 00:56,0.9819,0.0,0.0
QD-DETR,find_moment,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,"Find the moment showing a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",00:10 - 00:17,0.9735,0.0,0.0
QD-DETR,find_moment,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,"Find the moment showing a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:44 - 00:53,0.9948,0.0,0.2724749999999998
QD-DETR,find_moment,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,"Find the moment showing the video emphasizes the importance of rotating tires every 7,500 miles",00:07 - 00:16,0.9636,0.0,0.0
QD-DETR,raw_vlm,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",00:32 - 00:49,0.9986,0.0,0.12246520202276454
QD-DETR,raw_vlm,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,"The man, identified as Dave Campbell, provides information about GMC certified service",00:05 - 00:20,0.979,0.8111561002318554,0.8111561002318554
QD-DETR,raw_vlm,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:42 - 00:56,0.9533,0.0,0.07299242400308346
QD-DETR,raw_vlm,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",00:08 - 00:18,0.9775,0.0,0.0
QD-DETR,raw_vlm,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:43 - 00:54,0.9948,0.0,0.3717125000000001
QD-DETR,raw_vlm,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,"The video emphasizes the importance of rotating tires every 7,500 miles",00:05 - 00:15,0.9615,0.0,0.0
QD-DETR,screen_text,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,screen text GMC Certified Service gmccertifiedservice.com,00:10 - 00:17,0.973,0.0,0.0
QD-DETR,screen_text,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,The man,00:48 - 00:56,0.9607,0.0,0.1197819797478818
QD-DETR,screen_text,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,screen text GMC Certified Service Replacing Your Tires,00:09 - 00:14,0.9476,0.0,0.0
QD-DETR,screen_text,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,screen text GMC Certified Service,00:10 - 00:17,0.9751,0.0,0.0
QD-DETR,screen_text,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,a close-up of a tire being rotated,00:43 - 00:54,0.9951,0.0,0.3593687499999998
QD-DETR,screen_text,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,The video emphasizes the importance of rotating tires every 7,00:28 - 00:31,0.969,0.0,0.0
QD-DETR,short_action,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,a man in a white shirt standing in front of a dark blue background with a GMC truck,00:33 - 00:45,0.9987,0.0,0.0
QD-DETR,short_action,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,The man,00:48 - 00:56,0.9607,0.0,0.1197819797478818
QD-DETR,short_action,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:42 - 00:56,0.9861,0.0,0.0
