model,query_variant_strategy,video_id,event,gt_time,subjectivity,top1_query_variant,top1_time,top1_score,top1_iou,best_iou_at_k
Moment-DETR,raw_vlm,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:17 - 01:31,0.9915,0.07831768212416186,0.07831768212416186
Moment-DETR,raw_vlm,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",04:41 - 05:27,0.9875,0.0,0.21907056953315013
Moment-DETR,raw_vlm,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,"The video ends with a view from inside the car, showing the driver and another person in the back seat",01:12 - 01:50,0.9994,0.0,0.2766390095812791
Moment-DETR,screen_text,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,The individuals are seen working together to clear the snow,00:00 - 01:50,0.9881,0.21893155925793148,0.21893155925793148
Moment-DETR,screen_text,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",04:41 - 05:27,0.9875,0.0,0.21907056953315013
Moment-DETR,screen_text,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,The video ends with a view from inside the car,04:55 - 05:20,0.9974,0.25426748190922094,0.25426748190922094
Moment-DETR,short_action,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,The individuals are seen working together to clear the snow,00:00 - 01:50,0.9881,0.21893155925793148,0.21893155925793148
Moment-DETR,short_action,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,The scene is set in a wooded area with trees and bushes covered in snow,04:49 - 05:21,0.9975,0.0,0.2671984931955838
Moment-DETR,short_action,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,The video ends with a view from inside the car,04:55 - 05:20,0.9974,0.25426748190922094,0.25426748190922094
Moment-DETR,the_video_shows,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,"The video shows the individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:14 - 01:29,0.991,0.11241502394575882,0.7482041666666667
Moment-DETR,the_video_shows,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"The video shows the scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",04:33 - 05:23,0.9675,0.0,0.15881047521841898
Moment-DETR,the_video_shows,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,"The video shows the video ends with a view from inside the car, showing the driver and another person in the back seat",01:11 - 01:50,0.9996,0.0,0.30133603972950623
QD-DETR,cleaned,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",03:50 - 04:02,0.9753,0.0,0.6882125
QD-DETR,cleaned,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",03:51 - 04:03,0.9166,0.0,0.27964285714285697
QD-DETR,cleaned,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,"The video ends with a view from inside the car, showing the driver and another person in the back seat",01:51 - 02:02,0.9934,0.0,0.0
QD-DETR,find_moment,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,"Find the moment showing the individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:14 - 00:29,0.975,0.3261770193618113,0.6656249999999999
QD-DETR,find_moment,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"Find the moment showing the scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",03:50 - 04:03,0.9456,0.0,0.27950571428571447
QD-DETR,find_moment,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,"Find the moment showing the video ends with a view from inside the car, showing the driver and another person in the back seat",01:51 - 02:03,0.984,0.0,0.0
QD-DETR,raw_vlm,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",03:50 - 04:02,0.9753,0.0,0.6882125
QD-DETR,raw_vlm,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",03:51 - 04:03,0.9166,0.0,0.27964285714285697
QD-DETR,raw_vlm,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,"The video ends with a view from inside the car, showing the driver and another person in the back seat",01:51 - 02:02,0.9934,0.0,0.0
QD-DETR,screen_text,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,The individuals are seen working together to clear the snow,00:25 - 00:31,0.9768,0.0,0.35780000000000006
QD-DETR,screen_text,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",03:51 - 04:03,0.9166,0.0,0.27964285714285697
QD-DETR,screen_text,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,The video ends with a view from inside the car,03:51 - 04:01,0.9754,0.0,0.0
QD-DETR,short_action,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,The individuals are seen working together to clear the snow,00:25 - 00:31,0.9768,0.0,0.35780000000000006
QD-DETR,short_action,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,The scene is set in a wooded area with trees and bushes covered in snow,03:48 - 03:59,0.892,0.0,0.0
QD-DETR,short_action,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,The video ends with a view from inside the car,03:51 - 04:01,0.9754,0.0,0.0
QD-DETR,the_video_shows,8,"The individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",00:00 - 00:24,2,"The video shows the individuals are seen working together to clear the snow, with some standing on the ground and others using the tools to dig",03:50 - 04:03,0.9803,0.0,0.7636375000000001
QD-DETR,the_video_shows,8,"The scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",01:20 - 01:55,1,"The video shows the scene is set in a wooded area with trees and bushes covered in snow, and the group appears to be focused on freeing the car",03:51 - 04:04,0.9843,0.0,0.0
QD-DETR,the_video_shows,8,"The video ends with a view from inside the car, showing the driver and another person in the back seat",04:06 - 05:14,2,"The video shows the video ends with a view from inside the car, showing the driver and another person in the back seat",01:51 - 02:02,0.9912,0.0,0.0
